sim,month,outstanding_open,A_open,B_open,C_open,WH_open,A_close,B_close,C_close,WH_close,interest_income,funding_cost_A,funding_cost_B,funding_cost_C,funding_cost_WH,funding_cost_total,net_before_principal,principal_repay_total,principal_repay_A,principal_repay_B,principal_repay_C,principal_repay_WH,default_rate,lgd,margin_shock,default_loss_end
0,1,100000000.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,98333333.33333333,896757.8670904582,0.0,0.0,0.0,666666.6666666667,666666.6666666667,230091.20042379142,1666666.6666666667,0.0,0.0,0.0,1666666.666666667,0.06838544665886397,0.2410454128730876,0.017610944050854994,8241999.112198186
0,2,98333333.33333333,0.0,0.0,0.0,98333333.33333333,58983050.847457625,19661016.949152544,9830508.474576272,8192090.395480221,881811.9026389505,250000.0,116666.66666666667,83333.33333333333,55555.555555555526,505555.5555555555,376256.347083395,1666666.6666666667,1016949.1525423729,338983.05084745766,169491.52542372883,141242.93785310726,0.06838544665886397,0.2410454128730876,0.017610944050854994,8241999.112198186
0,3,96666666.66666666,58983050.847457625,19661016.949152544,9830508.474576272,8192090.395480221,58965517.24137931,19655172.413793102,9827586.206896551,6551724.137931025,866865.9381874428,250000.0,116666.66666666667,83333.33333333333,44444.44444444438,494444.4444444444,372421.49374299846,1666666.6666666667,1034482.7586206897,344827.58620689664,172413.79310344832,114942.52873563203,0.06838544665886397,0.2410454128730876,0.017610944050854994,8241999.112198186
0,4,94999999.99999999,58965517.24137931,19655172.413793102,9827586.206896551,6551724.137931025,58947368.421052635,19649122.807017542,9824561.403508771,4912280.701754372,851919.9737359352,250000.0,116666.66666666667,83333.33333333333,33333.333333333234,483333.33333333326,368586.6404026019,1666666.6666666667,1052631.5789473685,350877.19298245624,175438.59649122812,87719.29824561378,0.06838544665886397,0.2410454128730876,0.017610944050854994,8241999.112198186
0,5,93333333.33333331,58947368.421052635,19649122.807017542,9824561.403508771,4912280.701754372,58928571.428571425,19642857.14285714,9821428.57142857,3273809.523809504,836974.0092844275,250000.0,116666.66666666667,83333.33333333333,22222.22222222209,472222.2222222221,364751.78706220543,1666666.6666666667,1071428.5714285716,357142.8571428572,178571.4285714286,59523.809523809185,0.06838544665886397,0.2410454128730876,0.017610944050854994,8241999.112198186
0,6,91666666.66666664,58928571.428571425,19642857.14285714,9821428.57142857,3273809.523809504,58909090.90909091,19636363.636363637,9818181.818181818,1636363.636363612,822028.0448329198,250000.0,116666.66666666667,83333.33333333333,11111.111111110946,461111.11111111095,360916.9337218089,1666666.6666666667,1090909.0909090913,363636.36363636376,181818.18181818188,30303.03030302986,0.06838544665886397,0.2410454128730876,0.017610944050854994,8241999.112198186
0,7,89999999.99999997,58909090.90909091,19636363.636363637,9818181.818181818,1636363.636363612,58888888.88888889,19629629.62962963,9814814.814814787,0.0,807082.0803814122,250000.0,116666.66666666667,83333.3333333331,0.0,449999.99999999977,357082.0803814124,1666666.6666666667,1111111.1111111115,370370.3703703705,185185.18518518473,0.0,0.06838544665886397,0.2410454128730876,0.017610944050854994,8241999.112198186
0,8,88333333.3333333,58888888.88888889,19629629.62962963,9814814.814814787,0.0,57777777.77777776,19259259.25925926,9629629.629629603,0.0,792136.1159299045,245370.3703703703,114506.17283950618,81790.1234567899,0.0,441666.6666666664,350469.4492632381,1666666.6666666667,1111111.1111111112,370370.3703703705,185185.18518518476,0.0,0.06838544665886397,0.2410454128730876,0.017610944050854994,8241999.112198186
0,9,86666666.66666663,57777777.77777776,19259259.25925926,9629629.629629603,0.0,56666666.666666664,18888888.88888889,9444444.444444418,0.0,777190.1514783967,240740.74074074073,112345.67901234569,80246.91358024669,0.0,433333.3333333331,343856.81814506365,1666666.6666666667,1111111.1111111115,370370.3703703705,185185.18518518473,0.0,0.06838544665886397,0.2410454128730876,0.017610944050854994,8241999.112198186
0,10,84999999.99999996,56666666.666666664,18888888.88888889,9444444.444444418,0.0,55555555.55555554,18518518.518518522,9259259.259259233,0.0,762244.1870268891,236111.11111111104,110185.18518518521,78703.70370370348,0.0,424999.9999999997,337244.18702688935,1666666.6666666667,1111111.1111111115,370370.3703703706,185185.18518518476,0.0,0.06838544665886397,0.2410454128730876,0.017610944050854994,8241999.112198186
